tweets	sentiment	topics
@awkwardmama107 So we are being set up. By 2040 vaxxed whites will be gone non democrat blacks wil be vXXED AND GON but the crap walking in will be cashing welfare and democratic voters  or not	-1	4
poor boys tho they all have to quarantine for like 10 days on their break i hope they at least get to relax	1	3
Hawke's Bay DHB region is now 85% fully vaxxed. Goes to show that the anti crowd are just a vocal minority. Ka pai Te Matau a Maui!	1	1
@LeoRautins Jeez .... so upsetting -- Yes Leo, Agreed, get it together Ontario and GET VAXXED!!!!  🙏💉😷💪💉🇨🇦	1	1
@JPattieB @McgibbonPaddy @DrEliDavid &gt; A person who is exposed and has never been vaccinated against rabies should get 4 doses of rabies vaccine. The person should also get another shot called rabies immune globulin (RIG). Absolute L.	0	8
@emanonaesthetic Covid	0	6
to think in the past 2 years and the entire pandemic, they really worked so hard to produce music and make us happy, they deserve this so much ,,, rest well love @BTS_twt 🤍	1	7
Kids being uninvited to Christmas dinner because they aren’t vaxxed is completely unacceptable.	-1	1
@TheLilHomieBuck But you got Covid too, so you have the best of both worlds now girl! But at least you can admit and understand that they are not magic. Some folks have no clue.	1	5
Who are you to invalidate their hard work para mabansagan nung title na yun? Faves nyo lng ba ang hardworking??? Hindi ba mahirap gawin yung na-achieve nila despite the pandemic, lack of franchise, and lack of physical interaction with their fans???? Can't you let them have this?	-1	7
@BTS_twt Rest well y’all did a Good job please enjoy ur time w ur families and ur vacation 🥺💜 Thank you for sticking w us during the pandemic and release an album that made me have hope again and Love you boys thank you I’ll be looking forward to ur new album 💜	1	7
i was just thinking since they have quarantine for 10 days might as well give them a break so they can rest well. hope you get all the rest you need and comeback @BTS_twt	1	7
good morning ! 2nd dose ko 2day ^^	1	1
@Jockthrax @heartofrockn You are obviously the science deniers if you are for this covid vaccine	-1	1
@org_scp @JustinTrudeau Of this is a real Vax, and not just saline, hopefully this doesn't happen to your kids!!! https://t.co/Qp5VOK8p9i	-1	1
@carlawalworth @MikePerryavatar School shootings seems to be part of that, too.  It's flat out denial.  We're done with Covid!  We're done with dead kids.  We (as a nation) were always done with Iraqi deaths, I think.	1	4
@AliHT @McRaprascal Jesus' blood is her vaccine	0	1
I’m at my first in person audition since the pandemic began and I’m nervous 😵‍💫	0	7
@Gisela_71 @maosbot I was hospitalised on Thursday night in hypertensive crisis. From covid. My previous covid infection in March 2020 left me weak with viral myocarditis. I knew subsequent infection might floor me. I will find out the extent of the damage very soon.	-1	5
thank you bts for making us feel loved and happy during the pandemic despite the challenges you also have been experiencing in this difficult time. now, please have a good rest and we will see you soon 🥺💜	1	7
@Keggs719 @karol My 15-year old cousin is triple-vaxxed and almost never takes her mask off. It’s beyond sad.	-1	1
@MichaelAlleson @JayJayBeeze @handmadekathy @sammy44231 @KStateTurk @ogilville1 @swedishchf @JonathanHannah @Tony__Heller @MelsyJ @richykirsh @deralteGaukler @mcfunny @sailor_man_dan @JessHan95074669 @J_EmpyreanGoals @provaxtexan @FraiseAdam @SultaneAlexand1 @AndrewLazarus4 @rpagano697 @satekor @kevinault @JimeeLiberty @tenebra99 @Sara4843 @janem1276 @doom37455413 @raouldukeerik @PaulDesmoParker @namagoy @Monstercoyliar @andylumm @_mamadeb @kath2cats @Kathmarval @Fannyi5 @TechARP @SkepticalMutant @runhack @CarvilleDean @ConsequentialBr @MichaelBuerger8 @WendyOrent @MsTrixter @DevoDalek @FactPhily @JamesLynchGTC @quintic @SoupTomatoSoup It wasn't a pandemic.	0	6
@omixochitl @The_Real_Fly Thanks, not sure which article you're refering to, but I found this one from searching your quote. It clearly states the possibility of imprisonment. https://t.co/sH9rdqPI6b	-1	3
@afneil "I don’t believe in mandatory vaccination but..." It's the but that gives it away.  Vaccine passports are clearly an utter futile virtue signal by the holier than thou crowd.  Surprised to see you placing yourself there.  What's happened to you?	-1	3
As a parent of a 3yo who has been asking everyone to keep taking the pandemic seriously, I am now begging everyone to keep taking the pandemic seriously https://t.co/WW9Oj5DEmx	1	6
remember when winwin had the real pandemic experience of cutting his own hair he did not give a fuck	0	7
Cruise ship with COVID-19 infections arrives in New Orleans https://t.co/v5tvyl0Lwa All vaccinated.	-1	6
@liddle_4_ever @QuakerPete Wales also has a higher vaccination rate than England. You're actually deluded if you think our next door neighbour would have a much worse underlying case rate than England - there is no reason to suppose this. 1	0	1
Cruise ship with COVID-19 infections arrives in New Orleans (from @AP) https://t.co/eHlXbbqDzc	0	6
@richsignorelli Imagine hed spill his guts about GOPs highly sensitive stuff,he'd do it for immunity,just look what he shared with PUTIN regarding the US top secret stuff &amp;that was for free,then there's KUSHNER,using it to have JAMAL KASHOGGI murdered,that was for money,for 666,beast of a place	0	8
I’m just so happy the timing is perfect cuz I’m having a vacation too I’m going to travel tomorrow to an island and I’ve been wanting and needing that for sooo long now it’s my first time traveling since the pandemic started	0	7
@washingtonpost If the democrats don’t get with the fact that people are fed up and over Covid they are going to lose the next election	-1	4
@cozca503 Btw, since you went to them demonstrations and riotous aftermaths/proceedings, how many others, do you know, who attended them, got coronavirus and died of that in hospital or before? Anything register, on covid-19 matters, when it's the ICE building; or, how many died there so?	1	6
@Michell25038442 Hid the consequences from my GP prescribed benzodiazepines behind misdiagnoses. Hospitalised me, forced me off high dose, treated me with criminal malpractices and life threatening implications. I was very lucky. Devastated my family though. Lost my brother half way through 👇	0	8
@MrBeast @pulte Count me in!  After all this pandemic year's misfortunes, wishing for something good to happen before the year ends. 🙏	0	6
actually i think they deserve this rest. the whole pandemic made them anxious. theyve been thinking abt their fans and if we stay. now the concerts proved them wrong. they can take a break knowing the fans are gonna support them a lot!	1	7
@deanashtonsfoot @DrEliDavid Lol so 4 in a year, yeah, happens every day. What's becoming less shocking is the number of historically ignorant fools itching to be lab rats  🤔 NO true vaccine has ever eradicated Any respiratory virus &amp; these are not even vaccines, which impute immunity from *Infection*	-1	1
@annap442 @razibkhan Same with Walgreens in FL  So I went to Publix for a Moderna booster after having BioNtech/Pfizer for 1st two.	0	1
@PrevFromBurgh Mine is Interstitial too. They were talking bladder expansion surgery before Covid hit. Nothing  got done and I’m miserable from it 24/7.	0	5
@DancingRos48 @BruceRayCarr1 @yohiobaseball AND it does NOT help when someone is dying of Covid THAT has been shown over and over and over..	0	5
@Roman_Baber and we need a covid passport because ?  https://t.co/8ez9gDL2rA	-1	3
@Suzanne98464108 @donwinslow I thought it was so he didn't get Covid from his underlings?	0	6
@nahumstweets @bennyjohnson You are correct, and all those that you mentioned have been studied for years. Measles and polio was like 30 years before they started giving the vaccine so you can be the test subject for this crap. My kids won't	-1	1
@GLOWKING1231 Talking bout he made it sound bad. Having an outside baby on your wife during a pandemic is bad you idiot 😒😒	0	7
It’s after midnight in the Olympia.. look at all that covid there.. doing it’s thing https://t.co/OOYT8MnzPg	1	6
Same.   I know I’ve been incorrect/off at times.   It is what it is, and I’m not trying to bury the evidence.   (Mind you, I think most of my COVID era tweets will stand test of time.   The rest will help me learn.) https://t.co/dFtKvazHFk	-1	7
@PWHillman1 Are they worried that the organ donor will catch covid?	0	5
@tekfox @FurFest Covid soup anyone? Nah looks insane!	1	7
@Currtis25Harr @KerriJersey Not only that, think about the brave people who volunteered to take the vax so it could be studied.	1	1
NYCFC’s depth outlasts COVID-stricken Philly https://t.co/NyP6mptnmC	0	7
@attorneygeneral WHY IS TRUMP NOT BEING CHARGED UNDER THIS POLICY. He knew he had a positive covid test before his debate with President Biden and before his meeting with gold star families. Trump is a COVID TERRORIST CC https://t.co/Cg6hMedoM8	1	4
@paulheintz  "Crippling"  Do better. https://t.co/kRHHedBDZ3	0	6
Drugstores across the US are struggling to cope as low staffing levels combine with surging vaccine demand, a report says https://t.co/ioFlNaKGu6 #SmartNews	0	1
@1stExecutive @peterjensen1984 @JayneSm10388896 @VictorianCHO The context of your comment, is the comment before it.  Your argument that Pfizer did not withhold data, is factually incorrect.	-1	1
https://t.co/5Xxq2KIafR really interesting paper explaining how Omicron is the first variant of COVID to show recombination and it was with the common cold 🤯	0	2
@Lakers_in_3 @SilkLifeMedSpa @SGCNY @Brandar06 google has plenty about Moderna, Pfizer, the NIH and patent rights. I think govt was highly involved in funding/research but it’s working it’s way through legal process. Gov could try and push through in violation of current patent process.. would be lots of pushback to that	0	3
WATCH: Morning exercise and play time of Grade 1 students in Pasig Elementary School, as they participate in the face-to-face classes amid the #COVID19 pandemic | via @arraperezDZMM  https://t.co/VQxffQDpPd	0	7
Ventilation  Mask indoors #GetVaccinated  #GetBoosted   We can defeat covid  Listen to the public health professionals to save your life  Conspiracy theories about covid will kill you  Choose wisely Live https://t.co/hkU0kwt5jj	1	1
Look I'm all for doing everything to get people to get a booster vaccine but is now really the time for this letter? Almost nobody outside aged care and healthcare is eligible yet. Target them directly and send everyone else a letter when we are actually due (March)   #auspol https://t.co/jnpiwIIsPO	1	1
@Frank_Cap1_BOE @SaveJersey Accept the vaccine is bullshit and doesn’t work… was the biggest fraud in history	-1	1
Barcelona - a living lab for the impact of pandemic induced slowdown. "It will be a reference year for future generations and go down in history due to the impact of Covid.”  Maria Jesús Calvo @ClaudioMilano10 @asunblancor @Jules_C_Wilson @space_sharing  https://t.co/swOgCrCCZe	0	6
@covidhoax1984 Covid-19, no contest	0	6
@covid_parent Pfizer needs to anteup higher!!!	-1	1
This was Barack Hussein’s deal…. It was in 2015…so the government co-owns Moderna and mandates it’s use….anyone surprised?  Not really. https://t.co/bMFsBFq8IK	-1	4
A 7 year old learning from school friends that there’s poison in the vaccine. this is not ok????	1	1
@GGrucilla I Agee with much of what you say. I guess I feel a couple of things. We need  to understand how people who ought to support better outcomes don’t. I note the Rangatiratanga flag at some anti-vax demos. Also concerned at the “vax” is the solution to driving poor health issues. 1	1	1
@ Senate Votes Down GOP Plan to Block Biden Vaccine Mandates  https://t.co/IPciKlIaYj	0	4
@POTUS Please link the proof the vaccine works against Omicron. Thank you.	-1	2
Me yesterday: “Yay I’m so excited to get the vaccine booster and continue to keep myself and others safe!”  Me today: https://t.co/TG9TDeALOk	0	1
@clavedoc @fredwilliams77 @EricMMatheny This tweet is an instant fail. The exact same # of cases of any viral infection. Pretty spot on, year after year after year. No different before vax vs after vax. Just same seasonal viral cases, no matter what theatrical measures taken.	0	6
@HanJahr Be easy on Pete, he took the vaxx	0	1
@JackPosobiec Man, low blow!  No need to drag poor Charlottesville again. Kidding aside, the memory of 6m+ gassed &amp; torched Jews thank you for your deep class. No wonder why God sent COVID to purge Conservatives off the Earth.  Q: is the '24 GOP Convention slated for Sodom, or the other? @RNC	0	4
This isn’t a told-you-so or a gloat  This is to acknowledge that maybe the vax hesitant were right all along, that our decision should be respected more moving forward and that the mandates should cease immediately.  https://t.co/NCPo7GZTlI	-1	1
@patriottakes A room full of fools spitting Covid on each other.	1	6
A health care worker administering the jab to the 50-year-old man at a vaccine site in the northern Piedmont region initially did not suspect the trick. But then she touched the arm, noticed something was amiss, and had the man remove his shirt. https://t.co/A0jiL1WvmS	0	1
@mtgreenee If there were a vaccine for cancer, I would take it.	0	8
@harrygermain4 @Garrett_Archer That the vaccine doesn't work. Are you here champ?	-1	1
I have known no one who has died of Covid in 20 months or anyone sick with it. Have many friends who felt unwell and got a PCRtest which does not test for any virus. Were not really sick but tested positive. Is it time to hang this rubbish out the window &amp; return to normal life?	-1	6
@chathamharrison @Theophite We have, in fact, massively suppressed the flu over the past two years, purely as collateral damage from keeping a rattling lid on COVID-19!	1	6
Omicron in NJ: Everything we know about this COVID-19 variant: As the state confirmed the variant of concern has arrived, here's the latest questions and answers — does it appear easier to spread, and do vaccines seem to work against it? Continue reading… https://t.co/nwE6ysNyJU https://t.co/tBeNA9l7YI	0	2
#Omicron: We Warned You The #COVID Farce Would Never End https://t.co/G8PoMZMDV6	-1	2
@LibertasInstruc The Dr who "discovered" it noted the symptoms to be much more mild AND more that it seems to out compete other variants. This is the normal course of viruses. More transmissable, less severe. If only people knew this 2 years ago.....oh wait	1	6
@Sheril_ @pfizer @moderna_tx Thanks for sharing.  Copper based blue blood, that’s very fascinating.	0	8
Rise of Solopreneur? How people are quitting stable jobs for a side hustle The pandemic is making several people fearless about quitting their stable jobs #Latest News by #BusinessStandard https://t.co/kBjzJOMhFJ	0	4
Cork’s test centre has highest pass rate with Dublin test centres amonglowest https://t.co/uIwiHySC3h	0	5
Covid-19 vaccine hesitancy drops by 45 points in 12 months https://t.co/N8rf7PawBx	1	1
Ask the Doctor 702a: Why is Screening for Breast Cancer So Important? #BreastCancer #BreastCancerAwareness [Video] https://t.co/VJ05EBWWmh	0	8
"How Can I Get Paid for Telehealth in 2021?" webinar will address your questions about current billing and offer informed opinions about the future. https://t.co/JpKGMtHYb3 100% online, digital training.  #telehealth #telemedicine #TBHI #covid19 https://t.co/9vL5sJQlGm	0	8
@ABCPolitics The vaccine will not protect you against the omicron virus.  There was a super spreader event in Norway where everyone was vaccinated.  Why does the White House keep pushing vaccinations?  What happened to herd immunity?	-1	2
@RepThomasMassie @Twitter how is this permitted on your platform? This is blatant support of violence and propelling the horrific and tragic shootings epidemic in our country. This is deeply disturbing.	0	8
@JosephRoss1776 I’ll DM you the rest on the James stuff. I am just a regular dude, but am vetted, and have contact with some of the big boys at TRS.    Shitting on them for not partisan covid maxxing is the definition of petty.	-1	6
@plunderphonic @AdrianwithaW god damn, you just made we spend 15min looking into Robert Kennedy Jr wrt COVID. Thats a whole lot of hot mess I didn't know about until now. IQ dropped even lower after reading.	1	4
@moss_sphagnum @tired_elle @jvipondmd Hope the @JustinTrudeau @CPHO_Canada are ordering an abundance of the COVID anti-viral meds that will be released for sale in the 2022.	1	3
U.S. administers 470.3 mln doses of COVID-19 vaccines -CDC: Reuters https://t.co/2W7W8ELWBs	0	1
@Lynne73 It's going to depend a lot where you are. And how each type of prior immunity (prior infection alone, prior infection + vaccinated, 2 dose vaccinated, 3 dose vaccinated, etc) interacts with this variant.	0	2
@HTired89 @amandajanewd Tiredness is a vaxx symptom.  Vaxxed can be more infectious.. unvaxxed often have taken safer more effective precautions. No doubt they will lose some staff over this and move more to $2/hr call ctrs OS.	-1	1
@JerryMoran   PLEASE DO NOT VOTE for the immunization infrastructure modernization act of 2021. its my understanding that in that bill, the unvaxed would not be able to get food, have a job or anything.  im SICK OF THE DEMOCRATS and RINOS	-1	3
@magavwprov2 @_C3NSOR3D @thefattestbob Genetic sequencing is used to identify and track variants. https://t.co/dEGWUiChVv	0	2
We were distracted by the fake tiki torch guys when the real thing was going on over in the motherland to enforce the vaccine mandate. https://t.co/0KB6sL023S	0	3
Getting fired over Zoom during a pandemic is no fun. https://t.co/ieUana8SDB #DoBetter	-1	7
@EerjkMcRaeOF The vaccine is 90+ percent effective against severe disease and death. It is not 100% effective, and some people have poorer immune responses than others.	0	1
i feel like this will be really good for them, they were so stressed and down during covid and i think they got to release a lot of that during their concerts. now they can chill and actually relax https://t.co/DAEFAKuems	1	7
I am making myself hella emo looking at all the pics on my google photos from 2019. I did quite a lot of things in 2019 it seems. And while this year it wrecked me just doing one big thing, I am hoping I can get myself back to where I was before this pandemic happened.	1	7
@BrianLaneToday @SenSanders I think we both agree on the money spent by the public. I just am saying the vax which we paid for should certainly be made public like Bern is saying. Also saying the alternative of insisting that folks should just infect themselves and become immune is a cruel solution	1	4
@LyndzBeck https://t.co/kI2fJA3wsI sudden closure of school but for only three days?	-1	3
@mtgreenee @laurenboebert @RepBoebert  DEATHS   You ding-a-lings...caused by your misinformation.  https://t.co/Ii5LSEnOeY	-1	6
Take a moment to read and marvel at these pro vaccine nativity scenes in Taiwan via @kuokuomich and @albertowu’s newsletter. Americans would rip the mask off Mary. https://t.co/meey90jLDe	1	1
@NumberTenCat So sorry! We are nearing the end of our season now so that, combined with all the well-known issues concerning the global supply chain in the 'year of Covid' has caused some stock issues. We're confident these will be improved upon for next season!	1	7
Covid is not to be played with! https://t.co/M7Y0E5XaXb	0	6
Seven days: Following Trump’s coronavirus trail https://t.co/oDZHuWUDKJ	0	4
It’s hard to imagine a scenario where covid gets MORE deadly from here. It’s not just mutations become more mild, but also the continually improving medical treatments, our natural immunity, and the vaccines…	1	2
The reason our hospitals are not flooded with thousands of Covid-19 cases is our 91% double vaccination rate. Remember do not delay your third shot. #Melbourne #Victoria	1	1
@Laurie_Garrett @pfizer @ScottGottliebMD Are your stocks dropping shill?	0	4
Counties That Voted Trump Have Much Higher Covid Death Rates, Analysis Finds - Rolling Stone https://t.co/JMnVa2pzOX	0	4
@MattC88 @jennylorraine6 @kohltonmiller @BrusselsTimes Hmmm get vaccinated, catch covid &amp; not be rushed to a hospital &amp;/or incubated? Or Continue listening to non-scientists, don’t get vaccinated &amp; take your chances once you get the virus?  Has the American attitude of acting  entitled &amp; not caring about public safety spread? Yikes. https://t.co/JxQDUy3Rlq	1	1
2nd dose done!! Yey!! #fullyvacinnated https://t.co/YmSRxHkY1T	1	1
Brussels Police Sent to Control Protests Against COVID-19 Restrictions https://t.co/KWBHIjsMrl	0	3
@dps5400 @nytimes By worker burnout due to having to deal with the unvaccinated patients.  I am a healthcare worker. This is why we leave. Not due to vaccine mandates.  Thanks.	1	1
@FoxNews If COVID-19 is anywhere, it is potentially everywhere.  COVID-19 vaccines will save many lives.	1	1
You all deserve the rest. Thank you for your music during the pandemic. Eat well and enjoy 💙💜 @BTS_twt https://t.co/tzdXoUYM9F	1	7
I mean, what was even the point of preventing so much death and disease if I have to get *another* vaccination?	-1	1
Whether you pay Pfizer for the kids vax or compensation for instead diverting the adult version is probably close to a zero sum game. https://t.co/TkQG5g3KNm	0	1
Republican Senator Shuts Down Chuck Todd Again on False Equivalency Between Vaccine Mandate and 'Abortion Rights' https://t.co/gC9mbItPUW	0	4
@ElliotRoy23 @TomReese1 @ACTBrigitte Who fears covid? I don’t. If you’re vaccinated you have no real reason to fear Covid. My entire family is vaccinated. Lockdowns work and while I don’t want them to be reinstated I do understand the importance of them if cases skyrocket.	1	3
@iMadgen01 @BlaiseP59407586 I'm so sorry to hear that,  praying for all you young men and women who suffer the rude side effects of the experimental vaccine. I pray they have counter vaccines...something. They sure avoid responsibility.	-1	1
How COVID-19 Harms The Heart https://t.co/AMKNy0PTgO via @Digg	0	5
@les @alchemytoday @notdred @trvrb Is the FDA staff reviewing? Unless there is some kind of safety signal, it is automatically approved, so what are they doing? But Pfizer's production is still ramping up production, so every dose is going to get used either way. Key is to figure out one stop test and prescription	0	1
@Mitchinkb @RSBNetwork The thing is if you get all the shots you can still give Covid to everyone when you catch it. I think everyone needs tested then.	1	5
@dasscherick Believe it or not, people still get exemptions …  I wasn’t discussing the rightness or wrongness of mandates, only that the definition wasn’t being changed due to COVID	0	3
@TheMFingCOO @FitzgeraldSTA Covid is non existent among children because….wait for it….they don’t watch the news	0	6
@dietcheese @ConnyMor @madisonmbass @BretWeinstein Do you know her reasons? Maybe she recently had it and has natural immunity?   Way to group everyone who opposes mandates together as evil antivaxxers. You're really not helping your case	-1	3
Utilisation of ventilators, ICUs, hospital beds and quarantine centres as of 5 December 2021.  For more details, visit https://t.co/zLylQDs1qE https://t.co/7QzubQEOD5	0	6
An incredible opportunity to have had the star of my documentary, my Great Uncle Johnny, attend the screening of American Breakfast at the @FilmMesa this weekend! Thank you Indian at Motor Media and Ami Rogers for hosting a wonderful festival. https://t.co/YlODSbSeYm	1	7
they deserve that rest, they have been working so hard for so long and i know they have worked extra hard during the pandemic. its too early to say but happy holidays everyone &lt;3 lets see each other next year maybe with the new album 🤪🤟	1	7
#ChickenPerdue COVID19 Insider Trading! Republican @SenateGOP 70 Day COVID19 Hoax? While @Perduesenate @sendavidperdue Traded personal stocks for COVID19 stocks! @SEC @NewYorkStateAG ??? https://t.co/xOtG7383XT	0	4
@H_W_Calderwood @Jam_mil73 @afneil Even if you’re vaxxed you can catch covid (it happened to me) but I understand that the vaxx reduces the severity of any illness and its transmissibility. So an unvaxxed person more likely to infect you but this is a marginal issue. The right to choose is the important point	0	1
@MatthewPantelis @ronsoldman @1395FIVEaa @SAHealth @marshall_steven Please stop believing the political spin that uncontrolled Covid is inevitable &amp; that there's nothing we can do to prevent everyone getting infected. It's really not inevitable. It's just politicians playing politics.	0	4
Vaccine pioneer says &amp;apos;rules don’t apply’ to unaccountable, &amp;apos;corrupt&amp;apos; Fauci, FDA https://t.co/IU14uhikj9	0	1
@ABC In Mother Russia we Nuke the Coronavirus	0	6
@Beckenh4m @1BJDJ oh I beleave the virus exists! but it’s been made https://t.co/TP1vKQUiDI this dodgy https://t.co/kPNcEcprNr I’ve believed for some time	0	4
Believe it or not, I had my very first Covid test yesterday. Barely felt a thing. Now Abigail and I are waiting for our results. I'm sure it's negative but she had a contact at her daycare so it's the right thing to do!	1	5
This does not bode well....😐  15 Friends of US Omicron Patient Also Have COVID-19 https://t.co/Hz4NdiyiCf	-1	2
@JoeBiden What ? I ain’t done nothing? Messages are public any way, so it don’t matter who I title it to,now dose it?	-1	6
@mtgreenee DONT LISTEN TO THIS FREAK SHOW MTG.  Pro-Trump counties now have far higher COVID death rates. Misinformation is to blame https://t.co/ydQRIKwvMq	0	4
thank you boys for your hardwork and dedication throughout the pandemic :( i hope they spend their rests well	1	7
Literal prisons for covid patients and suspected covid patients. @Simeon_Morris_ https://t.co/Je04dgjkqz	0	3
@Soozer4 @FatEmperor @maurmcen @kevinthebooks Globalist crooks like the Rockefeller's initially funded the UN, in fact he donated the land for its headquarters, that's why it's located in NYC; and now his ideologies are being realized through vaxx passports leading to the Chinafication of the West. https://t.co/VIoTo5WXbB	-1	4
@kvallevand @BrownKnowser @lethal_heroine Retirement = freedom for travel! Now if Covid would quit complicating things!	0	6
@GregMon95133536 @NBCNews You want to know who got a pap smear? Or a breast cancer screening? Why do you want to know people's private medical information?	-1	8
@JennyPowder @KeeblrD @gsd_mom I’m so done with these fools! I went to the grocery store today. At least half were not wearing masks. I proclaimed loudly “I didn’t know they pandemic was over”.	-1	3
Imagine the outrage when they learn the truth about the real number of deaths attributable to covid?! Italy audited their covid deaths to under 4K. 🤨 https://t.co/52q09Xt1nV	-1	6
@JojosTweety @9NewsMelb @MimiRoseBecker What am I seeking help for? If you live in victoria the bill clearly states (if you can read) with no cases a pandemic can be declared by Dan. 😆 your in need of serious help and it is coming.  Usa is in discussions now. 13 countries have spoken out.	-1	4
they always helped us feel better during the pandemic and it makes me so happy knowing bts will be resting and doing what they want to do :((	1	7
15 Lessons the COVID-19 Pandemic Has Taught Us https://t.co/2XZ7x7Qo93	0	7
@BruceRayCarr1 @dddale @SandraR06931127 Such a liar. He knew masks worked because that's how covid variants are mitigated in China.   "He lied but he did it to protect nurses and doctors. He doesn't give a fuck about working people tho. They can die. Who cares about them" He also lied and said we wouldn't have mandates	-1	4
It could happen here in the USA https://t.co/lVhGdkj1mS	0	3
Vaccine inequality is a political choice high income nations have made at the expense of low income countries.  Cc @WHO https://t.co/3pjcVOt4pj	0	4
@erinotoole While the Liberal government spends its time and energy fighting Covid and trying to make life better for CDNs, Erin and his gang try to divide CDNs and disrupt every effort of the government. Erin may be CDN but they our only focussed on bettering themselves. #cdnpoli	0	4
@JasminGar2005 I’m sorry you are going through this. Your dad looks strong and healthy and since it sounds like he’s vaxxed, all that is positive. Do you have a support network?  Sending warm thoughts your and your dad’s way.	1	7
no bc looking back they did so much over quarantine (2020-2021) and worked so hard :( i really hope they are able to rest the way they want to	1	7
Saw an interesting tweet from @iMadgen01 regarding heart complications after his Covid Vax. Here’s a few screenshots of my fitness decline since my first Jab on Sep 25th. Note the heart rate / pace on last weeks 5k run, compared to a similar run in September 🤨🤨 https://t.co/pGAfgclbn0	-1	1
@MissyMo62382232 @davidclarkdavi1 @BakosAttila6 @Malcolm98771374 might be a huge disappointment.  Remember, those of us who don't expect any future adverse reactions don't have that anxiety compounding any disappointment in lost efficacy, and for those anxious about the waning effects boosters are said to restore vax efficacy fully. (End)	0	1
The pandemic has suckered many of us into paying like $50 to spend 20 minutes driving very slowly through a parking lot to look at some lights	-1	7
BTS, you have been working non-stop even during Covid and a time without fans. As you are on vacation, I want you to just relax and rest your souls. Enjoy doing small things, whether it is playing games, going to the park, or eating a meal. Have a good time with family &amp; friends.	1	7
@GoGoParkJimin Maybe going to BUSAN together after 10 days being quarantine... So I guess they planned it already and today Bighit released an announcement in weverse that our boys will going to have a vacay again and spend their holidays with their respective families. 🥺💜	1	7
@abuckyy @SoundTransit It was the rule before covid but makes sense now. I get people drinking water.  But having a whole smorgasbord of food is something else.	0	3
It’s kinda funny because they really haven’t had any schedules because of covid so like they didn’t have to announce it because we probably wouldn’t have noticed a difference 😭	0	7
@LeeHatherell I 100% see the positives in vaccines- I’ve had them my whole life and will continue to!   Our hospital system has been horrible for a long time prior to covid 19  Fingers crossed for a positive future to everyone!	1	1
daily dose of missing haruhoon on radio show https://t.co/9YI5rcPbQR	1	7
@BeardedGrowth @sophielouisecc It's likely because they have a much younger population on average. But that's the point, most of the vulnerable and old people in UK have had the vaccine but they won't stop until they start injecting 4 year olds.	0	1
Especially since i worked the whole pandemic without a shot or covid	0	1
yeah i get it either i can die of covid or die at 40 cause of the vaccine but lioe@i don’t want to die at all sorry but it’s not a plan that i have, i don’t want heart issues at 40 :: /	-1	1
NYCFC's depth outlasts COVID-stricken Philly https://t.co/EtlJZx3OTs  ▶️ https://t.co/NKkDBVS66N #Bitcoin #Sportsbook	0	7
@RantsOutloud 6 shots? just give me the bottle!!! Oh vaccine? never mind	-1	1
I was ingesting low dose antibiotics for 2 YEARS. And had no idea it was doing more damage than good. PRANKED	-1	5
Said to my sister earlier that this 10day quarantine will be the longest stay they’ve spent apart since September 2019’s break.Then they announce this break😂I’m happy they are spending the holidays with their loved ones and I hope they have a well earned rest!Thank you @BTS_twt	1	7
@rachsyme Don’t know the situation, post-COVID, but a friend was considering retirement via company where, for $X/month, you live in various luxury hotels around the world.	0	7
@michaelbd Well, Norway is 71-79% vaxxed.  So it's not surprising that the cluster is all vaxxed--there aren't that many unvaxxed in Norway.	0	1
@IAmEricVincent The majority of the USA is vaxxed so what’s the meaning of this? https://t.co/8c49SEtaD8	0	1
@YearRooster @crazyjo43424351 @InfoGuru16 @janeyK_KAG @Mattallica17 @malo_j @AngryFleas @teamphil @itsaboutdamnti1 @DangerousRyles @MadMikeAndrew @ClemSkelton @PamelaEdwards @sherrylynnww1 @TheCenterStripe @constit14834912 @KD2NFC @colin8or @FactsB4Politics @TomPolhaus @termlance150 @silverstang59 @MinnesotaExpat @RNLoveMyJob1 @kcinor @wiguy45 @Symonsez13 @WorldWarDee5 @Anvndarnamn5 @TJ2020landslide @cathyjo26199086 @NealRey50128337 @AgainTt45 @suckitjackbootz @USMCNoggin @StillFreeSCOTTY @nalutece @RedStateJimy @JoanMClements @Angel_13_Rising @WontBeSilent2 @MarcFink222 @princesspbbaby2 @ohchellesno @R5Philly @TheMattBoyScout @DorisMele @LauraLeeBordas @lisamikolFL @amhxson33 I do know, and yes I received placebo. Which was frustrating because my study cohort had an 80% chance of receiving the vaccine. It was also administered as two doses during Phase 2 trials. The single-dose version wasn't used until Phase 3 (both versions are nearly identical). https://t.co/a3fYDrGVyY	0	1
@Sonofdea13 @akikigate I mean, I also don’t want to catch COVID even though I’m fully vaxed and boosted. I’m not taking a stupid risk like that!	1	6
i’ve made it through the ENTIRE pandemic never having opened a zoom meeting… until tonight for @AshGavs	0	7
Masked Chrissy Teigen and John Legend buy out entire row at NYC's vax only Radio City Music Hall https://t.co/QmBg0US47F -Follow me more news	0	7
Parents knowingly send COVID-positive child to class, forcing 75 NorCal students into quarantine https://t.co/MpUXopqHl4	0	6
@EricBoehlert I voted for Phil Murphy because he kept us alive during Covid. The town in which I live is 85% vaccinated.	1	4
👁 Atlanta Hawks looking funny in the light without a shortened NBA season with covid taking out teams huh? 👁 https://t.co/p6JVbMeo7O	0	7
